R 	:    A   ,    B   ,    C   ,    D   ,    E   ,    F   ,    G   ,    H    |    Wt    |    Kt 
0 	:6A09E667,BB67AE85,3C6EF372,A54FF53A,510E527F,9B05688C,1F83D9AB,5BE0CD19 | 68656C6C | 428A2F98 
1 	:646DF4B9,6A09E667,BB67AE85,3C6EF372,012D4F0E,510E527F,9B05688C,1F83D9AB | 6F20776F | 71374491 
2 	:9FBBB243,646DF4B9,6A09E667,BB67AE85,26BA0340,012D4F0E,510E527F,9B05688C | 726C6480 | B5C0FBCF 
3 	:5363D10E,9FBBB243,646DF4B9,6A09E667,056669FD,26BA0340,012D4F0E,510E527F | 00000000 | E9B5DBA5 
4 	:A2CB4769,5363D10E,9FBBB243,646DF4B9,217AE7B5,056669FD,26BA0340,012D4F0E | 00000000 | 3956C25B 
5 	:F486C606,A2CB4769,5363D10E,9FBBB243,46268669,217AE7B5,056669FD,26BA0340 | 00000000 | 59F111F1 
6 	:865344C3,F486C606,A2CB4769,5363D10E,9D3D2193,46268669,217AE7B5,056669FD | 00000000 | 923F82A4 
7 	:D00381A8,865344C3,F486C606,A2CB4769,F2081EC0,9D3D2193,46268669,217AE7B5 | 00000000 | AB1C5ED5 
8 	:4BE34FEC,D00381A8,865344C3,F486C606,E36A0F9D,F2081EC0,9D3D2193,46268669 | 00000000 | D807AA98 
9 	:F069EEC7,4BE34FEC,D00381A8,865344C3,42083117,E36A0F9D,F2081EC0,9D3D2193 | 00000000 | 12835B01 
10 	:1BC42DF7,F069EEC7,4BE34FEC,D00381A8,A414BB8F,42083117,E36A0F9D,F2081EC0 | 00000000 | 243185BE 
11 	:B4BC6A5A,1BC42DF7,F069EEC7,4BE34FEC,6EE072E8,A414BB8F,42083117,E36A0F9D | 00000000 | 550C7DC3 
12 	:A84E2F6F,B4BC6A5A,1BC42DF7,F069EEC7,34F13ADD,6EE072E8,A414BB8F,42083117 | 00000000 | 72BE5D74 
13 	:14331D35,A84E2F6F,B4BC6A5A,1BC42DF7,A1FD6572,34F13ADD,6EE072E8,A414BB8F | 00000000 | 80DEB1FE 
14 	:4354F5D2,14331D35,A84E2F6F,B4BC6A5A,4A0A41C5,A1FD6572,34F13ADD,6EE072E8 | 00000000 | 9BDC06A7 
15 	:D63E2C26,4354F5D2,14331D35,A84E2F6F,1D13EA2B,4A0A41C5,A1FD6572,34F13ADD | 00000058 | C19BF174 
16 	:829E492B,D63E2C26,4354F5D2,14331D35,A8AC99C4,1D13EA2B,4A0A41C5,A1FD6572 | 37470237 | E49B69C1 
17 	:175B74DF,829E492B,D63E2C26,4354F5D2,9890FC40,A8AC99C4,1D13EA2B,4A0A41C5 | 86D0C031 | EFBE4786 
18 	:B547DD69,175B74DF,829E492B,D63E2C26,53814B5B,9890FC40,A8AC99C4,1D13EA2B | D3BD110B | 0FC19DC6 
19 	:B08AA389,B547DD69,175B74DF,829E492B,55FF7693,53814B5B,9890FC40,A8AC99C4 | 783F4782 | 240CA1CC 
20 	:8F2D5941,B08AA389,B547DD69,175B74DF,019EA22E,55FF7693,53814B5B,9890FC40 | 2A907CED | 2DE92C6F 
21 	:48F3719A,8F2D5941,B08AA389,B547DD69,8E9CE42A,019EA22E,55FF7693,53814B5B | 4B2F7CC9 | 4A7484AA 
22 	:F813193B,48F3719A,8F2D5941,B08AA389,5186923D,8E9CE42A,019EA22E,55FF7693 | 31E1945D | 5CB0A9DC 
23 	:9AC6CB79,F813193B,48F3719A,8F2D5941,075E2CB1,5186923D,8E9CE42A,019EA22E | 89364964 | 76F988DA 
24 	:87A4DC59,9AC6CB79,F813193B,48F3719A,17AE59DC,075E2CB1,5186923D,8E9CE42A | 7F7A06DA | 983E5152 
25 	:352FAF55,87A4DC59,9AC6CB79,F813193B,D347DB48,17AE59DC,075E2CB1,5186923D | C179A93A | A831C66D 
26 	:DD1139B1,352FAF55,87A4DC59,9AC6CB79,B41E6D17,D347DB48,17AE59DC,075E2CB1 | BBE8F655 | B00327C8 
27 	:8D53351B,DD1139B1,352FAF55,87A4DC59,94C7E1B2,B41E6D17,D347DB48,17AE59DC | 0C1AE3E6 | BF597FC7 
28 	:FE8A9E0E,8D53351B,DD1139B1,352FAF55,E1BF736C,94C7E1B2,B41E6D17,D347DB48 | B0FE0D7D | C6E00BF3 
29 	:24118386,FE8A9E0E,8D53351B,DD1139B1,16808D93,E1BF736C,94C7E1B2,B41E6D17 | 5F6E5593 | D5A79147 
30 	:A7C8C0C8,24118386,FE8A9E0E,8D53351B,058B0A6E,16808D93,E1BF736C,94C7E1B2 | 00899B52 | 06CA6351 
31 	:6460B31A,A7C8C0C8,24118386,FE8A9E0E,3E7738BC,058B0A6E,16808D93,E1BF736C | 07F1CA94 | 14292967 
32 	:86882A8C,6460B31A,A7C8C0C8,24118386,DDCADEBE,3E7738BC,058B0A6E,16808D93 | 3B5FE5D6 | 27B70A85 
33 	:5BD313B9,86882A8C,6460B31A,A7C8C0C8,83AFE7BF,DDCADEBE,3E7738BC,058B0A6E | 686562E6 | 2E1B2138 
34 	:0624B59E,5BD313B9,86882A8C,6460B31A,DFBC43B5,83AFE7BF,DDCADEBE,3E7738BC | C84E0A9E | 4D2C6DFC 
35 	:1DF50574,0624B59E,5BD313B9,86882A8C,BC262098,DFBC43B5,83AFE7BF,DDCADEBE | 06AF9B25 | 53380D13 
36 	:53153303,1DF50574,0624B59E,5BD313B9,C0DFC951,BC262098,DFBC43B5,83AFE7BF | 92EF64D7 | 650A7354 
37 	:4CF89D15,53153303,1DF50574,0624B59E,7982A293,C0DFC951,BC262098,DFBC43B5 | 63F95E5A | 766A0ABB 
38 	:1573CB0C,4CF89D15,53153303,1DF50574,63C355E3,7982A293,C0DFC951,BC262098 | E31667D7 | 81C2C92E 
39 	:BA6962C9,1573CB0C,4CF89D15,53153303,F0DC6430,63C355E3,7982A293,C0DFC951 | 843BDE16 | 92722C85 
40 	:67168510,BA6962C9,1573CB0C,4CF89D15,C0553FF6,F0DC6430,63C355E3,7982A293 | EEECA85B | A2BFE8A1 
41 	:A112D86C,67168510,BA6962C9,1573CB0C,4B44DA0D,C0553FF6,F0DC6430,63C355E3 | A04FF221 | A81A664B 
42 	:B746362A,A112D86C,67168510,BA6962C9,896734E5,4B44DA0D,C0553FF6,F0DC6430 | F918ADB8 | C24B8B70 
43 	:5A16ACEE,B746362A,A112D86C,67168510,690CDE29,896734E5,4B44DA0D,C0553FF6 | 14A89219 | C76C51A3 
44 	:ECEFBD82,5A16ACEE,B746362A,A112D86C,F5AAC33E,690CDE29,896734E5,4B44DA0D | 1084531D | D192E819 
45 	:C834CDB2,ECEFBD82,5A16ACEE,B746362A,812665C6,F5AAC33E,690CDE29,896734E5 | 6093E0CD | D6990624 
46 	:B089BCAC,C834CDB2,ECEFBD82,5A16ACEE,92EB8B4A,812665C6,F5AAC33E,690CDE29 | 83035FE9 | F40E3585 
47 	:D4802268,B089BCAC,C834CDB2,ECEFBD82,5633B810,92EB8B4A,812665C6,F5AAC33E | D5AE7938 | 106AA070 
48 	:C0E967D9,D4802268,B089BCAC,C834CDB2,B66968EA,5633B810,92EB8B4A,812665C6 | 393F05AD | 19A4C116 
49 	:29DD5604,C0E967D9,D4802268,B089BCAC,361DC310,B66968EA,5633B810,92EB8B4A | FB4B1BEF | 1E376C08 
50 	:DEB03A04,29DD5604,C0E967D9,D4802268,FF62849C,361DC310,B66968EA,5633B810 | EB75FF29 | 2748774C 
51 	:E0789DB2,DEB03A04,29DD5604,C0E967D9,C49C619C,FF62849C,361DC310,B66968EA | 6A369534 | 34B0BCB5 
52 	:FB047704,E0789DB2,DEB03A04,29DD5604,1AF5D1B0,C49C619C,FF62849C,361DC310 | 22FC9CD8 | 391C0CB3 
53 	:95B8193A,FB047704,E0789DB2,DEB03A04,2E2A5A2C,1AF5D1B0,C49C619C,FF62849C | A9740D2B | 4ED8AA4A 
54 	:208A86FF,95B8193A,FB047704,E0789DB2,812461F9,2E2A5A2C,1AF5D1B0,C49C619C | 60CF3885 | 5B9CCA4F 
55 	:6E46EF0A,208A86FF,95B8193A,FB047704,C7771C15,812461F9,2E2A5A2C,1AF5D1B0 | C4AC983A | 682E6FF3 
56 	:7C31C40C,6E46EF0A,208A86FF,95B8193A,5A2CCB8A,C7771C15,812461F9,2E2A5A2C | 1142FDAD | 748F82EE 
57 	:29E99E5D,7C31C40C,6E46EF0A,208A86FF,5B1F500C,5A2CCB8A,C7771C15,812461F9 | B0B01DD9 | 78A5636F 
58 	:D3817269,29E99E5D,7C31C40C,6E46EF0A,68BFCEE0,5B1F500C,5A2CCB8A,C7771C15 | 98F0C36F | 84C87814 
59 	:9DA16FC4,D3817269,29E99E5D,7C31C40C,AFDF20A2,68BFCEE0,5B1F500C,5A2CCB8A | 7217B81E | 8CC70208 
60 	:B9BACF66,9DA16FC4,D3817269,29E99E5D,BF577099,AFDF20A2,68BFCEE0,5B1F500C | A2D4679A | 90BEFFFA 
