R 	:        A       ,        B       ,        C       ,        D       ,        E       ,        F       ,        G      ,       H          |        Wt        |    Kt 
0 	:6A09E667F3BCC908,BB67AE8584CAA73B,3C6EF372FE94F82B,A54FF53A5F1D36F1,510E527FADE682D1,9B05688C2B3E6C1F,1F83D9ABFB41BD6B,5BE0CD19137E2179 | 68656C6C6F20776F | 428A2F98D728AE22
1 	:FDB2D7A52C1D5564,6A09E667F3BCC908,BB67AE8584CAA73B,3C6EF372FE94F82B,5FCE0B20E9D59700,510E527FADE682D1,9B05688C2B3E6C1F,1F83D9ABFB41BD6B | 726C648000000000 | 7137449123EF65CD
2 	:399A87CBCBDBF6B9,FDB2D7A52C1D5564,6A09E667F3BCC908,BB67AE8584CAA73B,BA5B5ADCF8197FA8,5FCE0B20E9D59700,510E527FADE682D1,9B05688C2B3E6C1F | 0000000000000000 | B5C0FBCFEC4D3B2F
3 	:CDC2237D0078EFD6,399A87CBCBDBF6B9,FDB2D7A52C1D5564,6A09E667F3BCC908,36B0E849F3E7D9A8,BA5B5ADCF8197FA8,5FCE0B20E9D59700,510E527FADE682D1 | 0000000000000000 | E9B5DBA58189DBBC
4 	:25785D4541D3DC84,CDC2237D0078EFD6,399A87CBCBDBF6B9,FDB2D7A52C1D5564,D45F84796A6D724F,36B0E849F3E7D9A8,BA5B5ADCF8197FA8,5FCE0B20E9D59700 | 0000000000000000 | 3956C25BF348B538
5 	:75F3DB433F12B91F,25785D4541D3DC84,CDC2237D0078EFD6,399A87CBCBDBF6B9,7E0212C0D2C2DC30,D45F84796A6D724F,36B0E849F3E7D9A8,BA5B5ADCF8197FA8 | 0000000000000000 | 59F111F1B605D019
6 	:2F275206A70EC2E6,75F3DB433F12B91F,25785D4541D3DC84,CDC2237D0078EFD6,4A3E63CAB4ED16B4,7E0212C0D2C2DC30,D45F84796A6D724F,36B0E849F3E7D9A8 | 0000000000000000 | 923F82A4AF194F9B
7 	:9B2F1D83A8B49251,2F275206A70EC2E6,75F3DB433F12B91F,25785D4541D3DC84,6F1C625ACC37EF52,4A3E63CAB4ED16B4,7E0212C0D2C2DC30,D45F84796A6D724F | 0000000000000000 | AB1C5ED5DA6D8118
8 	:EAF256083AACEB32,9B2F1D83A8B49251,2F275206A70EC2E6,75F3DB433F12B91F,6B0DEFA0565DF3FE,6F1C625ACC37EF52,4A3E63CAB4ED16B4,7E0212C0D2C2DC30 | 0000000000000000 | D807AA98A3030242
9 	:83AD5DE8AFD163FA,EAF256083AACEB32,9B2F1D83A8B49251,2F275206A70EC2E6,9A6912F4D3EB48FA,6B0DEFA0565DF3FE,6F1C625ACC37EF52,4A3E63CAB4ED16B4 | 0000000000000000 | 12835B0145706FBE
10 	:EB097F2AE4CD7507,83AD5DE8AFD163FA,EAF256083AACEB32,9B2F1D83A8B49251,86C3AE1771ED8130,9A6912F4D3EB48FA,6B0DEFA0565DF3FE,6F1C625ACC37EF52 | 0000000000000000 | 243185BE4EE4B28C
11 	:79A8EF4A3302B1C2,EB097F2AE4CD7507,83AD5DE8AFD163FA,EAF256083AACEB32,890115CFE7662147,86C3AE1771ED8130,9A6912F4D3EB48FA,6B0DEFA0565DF3FE | 0000000000000000 | 550C7DC3D5FFB4E2
12 	:51771D8F77ACE7D4,79A8EF4A3302B1C2,EB097F2AE4CD7507,83AD5DE8AFD163FA,28323EF88A80C295,890115CFE7662147,86C3AE1771ED8130,9A6912F4D3EB48FA | 0000000000000000 | 72BE5D74F27B896F
13 	:15914C691BB7CCBF,51771D8F77ACE7D4,79A8EF4A3302B1C2,EB097F2AE4CD7507,664B0DC7A86D4944,28323EF88A80C295,890115CFE7662147,86C3AE1771ED8130 | 0000000000000000 | 80DEB1FE3B1696B1
14 	:C690D78BE86582F9,15914C691BB7CCBF,51771D8F77ACE7D4,79A8EF4A3302B1C2,3042B223B7305B17,664B0DC7A86D4944,28323EF88A80C295,890115CFE7662147 | 0000000000000000 | 9BDC06A725C71235
15 	:79B4A03E0C364144,C690D78BE86582F9,15914C691BB7CCBF,51771D8F77ACE7D4,323AADD4D86EBF16,3042B223B7305B17,664B0DC7A86D4944,28323EF88A80C295 | 0000000000000058 | C19BF174CF692694
16 	:AA05F06BB756937A,79B4A03E0C364144,C690D78BE86582F9,15914C691BB7CCBF,697A613C18F777A2,323AADD4D86EBF16,3042B223B7305B17,664B0DC7A86D4944 | A205F359EF20776F | E49B69C19EF14AD2
17 	:F4FB90866F721825,AA05F06BB756937A,79B4A03E0C364144,C690D78BE86582F9,D025AE70DF28F02B,697A613C18F777A2,323AADD4D86EBF16,3042B223B7305B17 | 72776480000002C1 | EFBE4786384F25E3
18 	:1256315A78818979,F4FB90866F721825,AA05F06BB756937A,79B4A03E0C364144,800D7851B802DFA8,D025AE70DF28F02B,697A613C18F777A2,323AADD4D86EBF16 | 1C4A7942A0D40744 | 0FC19DC68B8CD5B5
19 	:7E73B6DC1BFCE3FC,1256315A78818979,F4FB90866F721825,AA05F06BB756937A,A306AFF2150E5634,800D7851B802DFA8,D025AE70DF28F02B,697A613C18F777A2 | 922AD7DCEC901600 | 240CA1CC77AC9C65
20 	:9BA6D703E20862F7,7E73B6DC1BFCE3FC,1256315A78818979,F4FB90866F721825,CE3217921D1305D9,A306AFF2150E5634,800D7851B802DFA8,D025AE70DF28F02B | 62CA6079430B3E27 | 2DE92C6F592B0275
21 	:FC3F4C4F95EA6547,9BA6D703E20862F7,7E73B6DC1BFCE3FC,1256315A78818979,F703FE79D720111F,CE3217921D1305D9,A306AFF2150E5634,800D7851B802DFA8 | 91DE07FD4DC96DCE | 4A7484AA6EA6E483
22 	:C268BE8759EFEF52,FC3F4C4F95EA6547,9BA6D703E20862F7,7E73B6DC1BFCE3FC,B18FFFAD8B85AB62,F703FE79D720111F,CE3217921D1305D9,A306AFF2150E5634 | 701CC612B15AF5FA | 5CB0A9DCBD41FBD4
23 	:A10575D4D04256A5,C268BE8759EFEF52,FC3F4C4F95EA6547,9BA6D703E20862F7,FF137D82E6BFBCA1,B18FFFAD8B85AB62,F703FE79D720111F,CE3217921D1305D9 | 431489284AA459E9 | 76F988DA831153B5
24 	:8FE3FE0BFD2179BE,A10575D4D04256A5,C268BE8759EFEF52,FC3F4C4F95EA6547,B1C7DCE9D9EB6A9B,FF137D82E6BFBCA1,B18FFFAD8B85AB62,F703FE79D720111F | 5210720E58D094F0 | 983E5152EE66DFAB
25 	:548AA637A4897A4B,8FE3FE0BFD2179BE,A10575D4D04256A5,C268BE8759EFEF52,92C26C8B4037871B,B1C7DCE9D9EB6A9B,FF137D82E6BFBCA1,B18FFFAD8B85AB62 | AEDFAC4706015EBD | A831C66D2DB43210
26 	:12FE635149D08339,548AA637A4897A4B,8FE3FE0BFD2179BE,A10575D4D04256A5,80E642EDA49D1821,92C26C8B4037871B,B1C7DCE9D9EB6A9B,FF137D82E6BFBCA1 | 1580B3D5DE3644CB | B00327C898FB213F
27 	:4B91FB444A33D9F9,12FE635149D08339,548AA637A4897A4B,8FE3FE0BFD2179BE,67BCD8AC1378645D,80E642EDA49D1821,92C26C8B4037871B,B1C7DCE9D9EB6A9B | C25C09CC1CA54E7E | BF597FC7BEEF0EE4
28 	:2E8F3809D1C6A72F,4B91FB444A33D9F9,12FE635149D08339,548AA637A4897A4B,32B344676CE95C11,67BCD8AC1378645D,80E642EDA49D1821,92C26C8B4037871B | F6A906CEFE79B25B | C6E00BF33DA88FC2
29 	:8E8E86828BD312CE,2E8F3809D1C6A72F,4B91FB444A33D9F9,12FE635149D08339,5CC15B01697CB8F1,32B344676CE95C11,67BCD8AC1378645D,80E642EDA49D1821 | 2843AC1F05BC5B55 | D5A79147930AA725
30 	:293EE3EA9C627E2C,8E8E86828BD312CE,2E8F3809D1C6A72F,4B91FB444A33D9F9,12DB3EBC440898F1,5CC15B01697CB8F1,32B344676CE95C11,67BCD8AC1378645D | 1BEE75E2339205EE | 06CA6351E003826F
31 	:B9C773FA3985682C,293EE3EA9C627E2C,8E8E86828BD312CE,2E8F3809D1C6A72F,22C312FE28031063,12DB3EBC440898F1,5CC15B01697CB8F1,32B344676CE95C11 | DBCC35079AE9BBE9 | 142929670A0E6E70
32 	:07BFF6C3976D72C6,B9C773FA3985682C,293EE3EA9C627E2C,8E8E86828BD312CE,AA7B78D1E3FB320F,22C312FE28031063,12DB3EBC440898F1,5CC15B01697CB8F1 | 6934A14A5003F8A8 | 27B70A8546D22FFC
33 	:CA9F7AD67282ADC6,07BFF6C3976D72C6,B9C773FA3985682C,293EE3EA9C627E2C,1B4B6339EAD05804,AA7B78D1E3FB320F,22C312FE28031063,12DB3EBC440898F1 | BC6D9E11C5485233 | 2E1B21385C26C926
34 	:B72257CA68B9EEE2,CA9F7AD67282ADC6,07BFF6C3976D72C6,B9C773FA3985682C,3C52569C3AD1B721,1B4B6339EAD05804,AA7B78D1E3FB320F,22C312FE28031063 | 5E5E6D960E6D919D | 4D2C6DFC5AC42AED
35 	:752C8C8169A64695,B72257CA68B9EEE2,CA9F7AD67282ADC6,07BFF6C3976D72C6,21D2A36B15FE1200,3C52569C3AD1B721,1B4B6339EAD05804,AA7B78D1E3FB320F | 0B717EC3F3DFD328 | 53380D139D95B3DF
36 	:7697CA3B23B42FE5,752C8C8169A64695,B72257CA68B9EEE2,CA9F7AD67282ADC6,C44AADBD2D1501B6,21D2A36B15FE1200,3C52569C3AD1B721,1B4B6339EAD05804 | 54252D5CD0E2822E | 650A73548BAF63DE
37 	:A1FD8E4A8E19BBE5,7697CA3B23B42FE5,752C8C8169A64695,B72257CA68B9EEE2,6F8D9CA398B37C1E,C44AADBD2D1501B6,21D2A36B15FE1200,3C52569C3AD1B721 | 122DF6ADAFC3A216 | 766A0ABB3C77B2A8
38 	:D4B6F6393793FC2F,A1FD8E4A8E19BBE5,7697CA3B23B42FE5,752C8C8169A64695,3F19DC23B7B53F06,6F8D9CA398B37C1E,C44AADBD2D1501B6,21D2A36B15FE1200 | 8474A900FBCE7367 | 81C2C92E47EDAEE6
39 	:F4C464E28082A4B0,D4B6F6393793FC2F,A1FD8E4A8E19BBE5,7697CA3B23B42FE5,2E850919E0AB776F,3F19DC23B7B53F06,6F8D9CA398B37C1E,C44AADBD2D1501B6 | 6BACF4F64FA13A16 | 92722C851482353B
40 	:200B5DBFB2D3049E,F4C464E28082A4B0,D4B6F6393793FC2F,A1FD8E4A8E19BBE5,34A25A263F549805,2E850919E0AB776F,3F19DC23B7B53F06,6F8D9CA398B37C1E | 69F33124B0E05168 | A2BFE8A14CF10364
41 	:B44C1BE19B3BEA88,200B5DBFB2D3049E,F4C464E28082A4B0,D4B6F6393793FC2F,A2E206A3C1CAE780,34A25A263F549805,2E850919E0AB776F,3F19DC23B7B53F06 | CAC8CB2FE09206B1 | A81A664BBC423001
42 	:1F38E2FCDCAF51EF,B44C1BE19B3BEA88,200B5DBFB2D3049E,F4C464E28082A4B0,295D555608F588B0,A2E206A3C1CAE780,34A25A263F549805,2E850919E0AB776F | 836E5C75A072FCFA | C24B8B70D0F89791
43 	:CD79C530672A5305,1F38E2FCDCAF51EF,B44C1BE19B3BEA88,200B5DBFB2D3049E,89CE39EB62735070,295D555608F588B0,A2E206A3C1CAE780,34A25A263F549805 | CD8BF29FBC3DA62D | C76C51A30654BE30
